n,trial_index,total_s,read_s,compute_s,write_s
1000,152,0.005638123,0.003188133,0.002385139,5.6028e-05
1000,153,0.005698919,0.003196001,0.002416849,7.6056e-05
1000,154,0.00562191,0.003167868,0.002379894,6.6042e-05
1000,155,0.005635977,0.003165007,0.002402067,5.9843e-05
1000,156,0.005723,0.003253937,0.002402067,5.6982e-05
1000,157,0.006156921,0.003546953,0.002533913,6.6042e-05
1000,158,0.005718946,0.003238916,0.002411842,5.9128e-05
1000,159,0.005734921,0.003214836,0.002450943,6.0081e-05
1000,160,0.005702019,0.003260136,0.00237608,5.6982e-05
1000,161,0.005633116,0.003167152,0.002398014,5.9128e-05
1000,162,0.005757093,0.003261805,0.002420902,6.5088e-05
1000,163,0.005994081,0.003446102,0.002470016,6.6996e-05
1000,164,0.00564003,0.003190041,0.002377987,6.2943e-05
1000,165,0.005672932,0.00316596,0.002434015,6.3896e-05
1000,166,0.005602837,0.003123999,0.002407074,6.2943e-05
1000,167,0.005733013,0.003245115,0.002418995,6.0081e-05
1000,168,0.00563693,0.0031569,0.002413034,5.8889e-05
1000,169,0.005670071,0.003203154,0.002398968,5.9128e-05
1000,170,0.005628109,0.003144979,0.002412081,6.1035e-05
1000,171,0.006021023,0.003554821,0.002398968,5.7936e-05
1000,172,0.005666018,0.00316906,0.002429008,5.7936e-05
1000,173,0.005647898,0.003176928,0.002403021,5.8889e-05
1000,174,0.005674124,0.00323987,0.002367973,5.6028e-05
1000,175,0.005723,0.003273964,0.002379894,5.7936e-05
1000,176,0.005531073,0.00310111,0.002365112,5.6028e-05
1000,177,0.005674124,0.003206015,0.002379179,7.8917e-05
1000,178,0.005734921,0.00327301,0.002394199,5.7936e-05
1000,179,0.005776167,0.003318071,0.002389908,5.8174e-05
1000,180,0.005648851,0.003176928,0.002400875,6.1989e-05
1000,181,0.005708933,0.003251076,0.002388,6.0797e-05
1000,182,0.005624771,0.003162861,0.00239706,5.579e-05
1000,183,0.005737066,0.00326705,0.002402782,5.722e-05
1000,184,0.005643845,0.003175974,0.002385139,7.391e-05
1000,185,0.005666018,0.003224134,0.002374172,5.7936e-05
1000,186,0.005647898,0.003196955,0.002384901,5.6028e-05
1000,187,0.005732059,0.003220081,0.002446175,5.6982e-05
1000,188,0.005668163,0.003194094,0.002407789,5.722e-05
1000,189,0.005659819,0.00316596,0.002403975,7.2956e-05
1000,190,0.005618095,0.003147125,0.002387047,7.5102e-05
1000,191,0.00562191,0.00315094,0.00240016,5.9843e-05
1000,192,0.005714893,0.003207207,0.002438068,5.9843e-05
1000,193,0.00565505,0.003172874,0.002412796,6.0081e-05
1000,194,0.0057621,0.003237009,0.002439022,6.1035e-05
1000,195,0.005764961,0.003314972,0.002382994,5.7936e-05
1000,196,0.005670071,0.003190994,0.002409935,5.7936e-05
1000,197,0.005692959,0.003209114,0.002417088,5.7936e-05
1000,198,0.005653143,0.003173828,0.002410889,5.8174e-05
1000,199,0.005685806,0.003237963,0.002382994,5.6028e-05
1000,200,0.005725861,0.003275871,0.002382994,5.7936e-05
1000,201,0.005706787,0.003213882,0.002428055,5.579e-05
1000,202,0.006000996,0.003165007,0.00275898,6.9141e-05
1000,203,0.005683899,0.003200054,0.002403021,7.081e-05
1000,204,0.005656004,0.003198862,0.002387047,5.9843e-05
1000,205,0.005654097,0.003182888,0.002400875,6.0081e-05
1000,206,0.005661964,0.003149033,0.002442122,6.1989e-05
1000,207,0.005740881,0.003230095,0.002408028,8.4877e-05
1000,208,0.005718946,0.00325799,0.002393961,5.7936e-05
1000,209,0.005638123,0.003180981,0.002392054,5.6028e-05
1000,210,0.006080151,0.003622055,0.002389908,5.7936e-05
1000,211,0.00562191,0.00316,0.002394915,5.6982e-05
1000,212,0.005629063,0.003168821,0.002393007,5.6028e-05
1000,213,0.005777836,0.003313065,0.002398014,5.7936e-05
1000,214,0.005618095,0.003170013,0.00238204,5.6028e-05
1000,215,0.005590916,0.003123999,0.002399921,5.6982e-05
1000,216,0.006194115,0.003265142,0.002850056,6.9141e-05
1000,217,0.005693913,0.003214121,0.002408981,6.1989e-05
1000,218,0.006067991,0.003179789,0.002815962,6.2943e-05
1000,219,0.00583005,0.003334999,0.002401829,8.2016e-05
1000,220,0.006078005,0.003617048,0.002393007,5.8889e-05
1000,221,0.00581789,0.003360033,0.002389908,5.7936e-05
1000,222,0.005718946,0.003247023,0.002402782,5.9128e-05
1000,223,0.005759001,0.003304958,0.002386808,5.8174e-05
1000,224,0.005647898,0.003179073,0.002403021,5.6982e-05
1000,225,0.005616903,0.003189087,0.002359152,5.9843e-05
1000,226,0.005571842,0.003129959,0.002373934,5.8889e-05
1000,227,0.005670071,0.003195047,0.002407074,6.0081e-05
1000,228,0.005640984,0.003182888,0.002390862,5.6982e-05
1000,229,0.005689144,0.003203869,0.002413034,6.2943e-05
1000,230,0.005686998,0.003226042,0.002394915,5.6982e-05
1000,231,0.005772114,0.003314972,0.002383947,6.1989e-05
1000,232,0.005789042,0.003324986,0.002398014,5.6982e-05
1000,233,0.005717039,0.00324893,0.002399921,5.9128e-05
1000,234,0.005766869,0.003283978,0.002413034,6.3896e-05
1000,235,0.005707979,0.00326705,0.002372026,5.9843e-05
1000,236,0.005887032,0.003175974,0.002619982,8.2016e-05
1000,237,0.005609989,0.003144979,0.002386093,6.7949e-05
1000,238,0.006039143,0.003183126,0.002760172,8.7023e-05
1000,239,0.005683899,0.00317502,0.002438068,6.1989e-05
1000,240,0.005650997,0.003166914,0.002414942,6.0081e-05
1000,241,0.005620003,0.003170967,0.002383947,5.6028e-05
1000,242,0.005676985,0.003139019,0.002465963,6.1035e-05
1000,243,0.005838871,0.003356934,0.002414942,5.7936e-05
1000,244,0.006080151,0.00360918,0.002403975,5.8174e-05
1000,245,0.005748987,0.003283978,0.002398968,5.6982e-05
1000,246,0.005726099,0.003246069,0.002413034,5.6982e-05
1000,247,0.005717993,0.003264904,0.002386808,5.6982e-05
1000,248,0.005742073,0.003252029,0.002423048,5.6982e-05
1000,249,0.005647898,0.003170967,0.002408028,6.0081e-05
1000,250,0.005717039,0.00316,0.002486944,6.1035e-05
1000,251,0.005773067,0.003226995,0.002475023,6.1989e-05
1000,252,0.005674839,0.003180981,0.00242281,6.1989e-05
1000,253,0.005616903,0.003126144,0.002424002,5.8889e-05
1000,254,0.005839825,0.003368855,0.002398014,6.5804e-05
1000,255,0.005686998,0.003211975,0.002408981,5.6028e-05
1000,256,0.005702019,0.00318718,0.002445936,6.0081e-05
1000,257,0.005666971,0.003221035,0.002380848,5.6028e-05
1000,258,0.00565505,0.003188133,0.002399921,5.8174e-05
1000,259,0.005686998,0.003218889,0.002403021,5.6028e-05
1000,260,0.005679131,0.003173828,0.00243187,6.4135e-05
1000,261,0.005635023,0.003185034,0.002385139,5.6028e-05
1000,262,0.005609035,0.003144026,0.002395153,6.1989e-05
1000,263,0.005661011,0.003170967,0.002420902,5.9128e-05
1000,264,0.005650997,0.003188133,0.002396107,5.7936e-05
1000,265,0.005625963,0.003172874,0.002382994,6.0797e-05
1000,266,0.005620003,0.003146887,0.002403021,6.0797e-05
1000,267,0.005656004,0.003175974,0.002412081,5.6982e-05
1000,268,0.005702019,0.003226042,0.002409935,5.722e-05
1000,269,0.005725861,0.003250122,0.002399206,5.579e-05
1000,270,0.005604029,0.003149033,0.002388954,5.6982e-05
1000,271,0.006058931,0.003609896,0.00238204,5.7936e-05
1000,272,0.006021976,0.003560066,0.002394915,5.6982e-05
1000,273,0.005742073,0.003293991,0.002382994,5.6028e-05
1000,274,0.005662918,0.003170967,0.00242281,6.0081e-05
1000,275,0.005709171,0.003155231,0.00248003,6.0081e-05
1000,276,0.005687952,0.003206015,0.002410889,6.1989e-05
1000,277,0.005643845,0.003186941,0.002389908,5.7936e-05
1000,278,0.005777121,0.003245831,0.002451897,6.1035e-05
1000,279,0.007222891,0.004683971,0.002456903,7.2002e-05
1000,280,0.005687952,0.003207207,0.002413034,5.7936e-05
1000,281,0.005684853,0.003226995,0.002390862,5.6982e-05
1000,282,0.005947828,0.003212929,0.002665043,6.0797e-05
1000,283,0.005763054,0.003278017,0.002402067,7.4148e-05
1000,284,0.005742073,0.003211975,0.002419949,0.000100136
1000,285,0.005647898,0.003157139,0.002421141,6.0797e-05
1000,286,0.005721092,0.003226995,0.002417803,6.3181e-05
1000,287,0.005852938,0.003377914,0.002403021,6.2943e-05
1000,288,0.005823851,0.003347874,0.002408981,5.7936e-05
1000,289,0.005676031,0.003216982,0.002390862,5.9128e-05
1000,290,0.005666971,0.0031991,0.00240016,5.7936e-05
1000,291,0.005641937,0.003172159,0.002403975,5.6982e-05
1000,292,0.005717039,0.003221989,0.002427101,5.8889e-05
1000,293,0.005641937,0.003174067,0.002401114,5.7936e-05
1000,294,0.005683899,0.003201962,0.002391815,7.7009e-05
1000,295,0.005646944,0.00316906,0.00240612,6.2943e-05
1000,296,0.005619049,0.003134012,0.002416849,5.9128e-05
1000,297,0.005635977,0.003159046,0.002403975,6.3896e-05
1000,298,0.005638123,0.003166914,0.00240612,5.6982e-05
1000,299,0.006180048,0.003711939,0.002388,5.9128e-05
1000,300,0.00620389,0.00373888,0.002393961,6.1989e-05
1000,301,0.005686045,0.003239155,0.002379179,5.8889e-05
1000,302,0.00564599,0.00316906,0.002411842,5.6028e-05
1000,303,0.005690813,0.003247023,0.002377987,5.6982e-05
1000,304,0.005643129,0.003202915,0.002373934,5.6982e-05
1000,305,0.005975008,0.003224134,0.00267911,6.2943e-05
1000,306,0.005622864,0.00316596,0.002390146,5.7936e-05
1000,307,0.005671024,0.003190994,0.00240612,6.1989e-05
1000,308,0.006181002,0.003238916,0.002865076,6.1989e-05
1000,309,0.005759001,0.003278971,0.002409935,5.7936e-05
1000,310,0.005675077,0.003197908,0.002411842,5.6028e-05
1000,311,0.005688906,0.003196001,0.002427101,5.6028e-05
1000,312,0.006083965,0.003630161,0.002388,5.6982e-05
1000,313,0.005677938,0.00320816,0.002405167,5.579e-05
1000,314,0.005734205,0.003268957,0.002398014,5.8174e-05
1000,315,0.005638838,0.00317502,0.002396107,5.9843e-05
1000,316,0.005678892,0.0031991,0.002398014,7.2956e-05
1000,317,0.005683184,0.003165007,0.00244689,6.3181e-05
1000,318,0.006134987,0.00319314,0.002871037,6.1989e-05
1000,319,0.005652905,0.0031569,0.002426863,6.0081e-05
1000,320,0.005652189,0.003186941,0.002399206,5.579e-05
1000,321,0.005739212,0.003268957,0.002403021,5.8174e-05
1000,322,0.00574398,0.003290892,0.002387047,5.6982e-05
1000,323,0.005693913,0.003232002,0.002395868,5.6982e-05
1000,324,0.005620003,0.003173113,0.002381086,5.6982e-05
1000,325,0.005748987,0.003274918,0.002408028,5.6028e-05
1000,326,0.005681038,0.003221035,0.002394915,5.6028e-05
1000,327,0.00568819,0.003247976,0.002371073,5.9128e-05
1000,328,0.006053925,0.003181934,0.002799034,6.3896e-05
1000,329,0.005646229,0.003165007,0.002409935,6.2227e-05
1000,330,0.005661964,0.003181219,0.002407074,6.485e-05
1000,331,0.005646944,0.003161907,0.002414942,6.1035e-05
1000,332,0.00562191,0.003164053,0.002393007,5.6028e-05
1000,333,0.006099939,0.003610134,0.002423048,5.7936e-05
1000,334,0.005614996,0.003146887,0.002401829,5.6028e-05
1000,335,0.005646944,0.003182173,0.002398968,5.6028e-05
1000,336,0.005786896,0.003336906,0.002383947,5.6982e-05
1000,337,0.005630016,0.003177881,0.00237608,5.9843e-05
1000,338,0.005624056,0.003182888,0.00237608,5.4836e-05
1000,339,0.005721092,0.003123999,0.002499104,8.893e-05
1000,340,0.00561595,0.003148079,0.002401114,5.7936e-05
1000,341,0.005575895,0.003136873,0.002371073,5.8889e-05
1000,342,0.00592494,0.003164053,0.002690792,6.1035e-05
1000,343,0.006019115,0.003441095,0.002511024,5.9128e-05
1000,344,0.005870104,0.003176928,0.002619982,6.4135e-05
1000,345,0.006024122,0.003550053,0.002399921,6.5088e-05
1000,346,0.00565505,0.003196955,0.002393007,5.6982e-05
1000,347,0.005815983,0.003334999,0.002411127,6.0797e-05
1000,348,0.005653858,0.003198862,0.002378941,6.3896e-05
1000,349,0.005638123,0.00319314,0.00237608,6.1035e-05
2000,1,0.023648024,0.01386404,0.009721994,4.8161e-05
2000,2,0.026409864,0.016608,0.009701014,8.9884e-05
2000,3,0.02340889,0.013694048,0.009618998,8.297e-05
2000,4,0.022798061,0.0130651,0.009618998,8.2016e-05
2000,5,0.022798061,0.013056993,0.009646177,8.2016e-05
2000,6,0.022494078,0.012852907,0.009556055,7.2002e-05
2000,7,0.022586107,0.012911081,0.009580135,8.2016e-05
2000,8,0.022624969,0.013008118,0.009523153,7.987e-05
2000,9,0.02255702,0.012814999,0.009639025,9.0122e-05
2000,10,0.022473812,0.012828112,0.009561062,7.081e-05
2000,11,0.022718191,0.013036013,0.009593964,7.5102e-05
2000,12,0.022767067,0.013045073,0.009631157,7.7963e-05
2000,13,0.023068905,0.013175011,0.00979805,7.8917e-05
2000,14,0.022664785,0.012979984,0.009599924,7.2002e-05
2000,15,0.022680044,0.013009787,0.009585857,7.1049e-05
2000,16,0.022646904,0.012975931,0.009582996,7.391e-05
2000,17,0.022855043,0.013117075,0.009640932,8.4162e-05
2000,18,0.022449017,0.01275301,0.009609938,7.2002e-05
2000,19,0.022808075,0.013203144,0.0095191,7.2002e-05
2000,20,0.022594929,0.012894154,0.009613037,7.391e-05
2000,21,0.022833109,0.013045073,0.009696007,8.0109e-05
2000,22,0.022970915,0.013260841,0.009623766,7.4148e-05
2000,23,0.022842169,0.01310277,0.009653807,7.3195e-05
2000,24,0.022928953,0.013199091,0.009645224,7.1764e-05
2000,25,0.022729158,0.012903214,0.009722948,9.0122e-05
2000,26,0.022990942,0.013323069,0.009581089,7.2956e-05
2000,27,0.022799969,0.013040066,0.009673834,7.4148e-05
2000,28,0.022815943,0.013066053,0.009656906,8.1062e-05
2000,29,0.023262978,0.013545036,0.009630203,7.5817e-05
2000,30,0.022591114,0.012923002,0.009576797,7.3195e-05
2000,31,0.022514105,0.01285696,0.00956583,7.8201e-05
2000,32,0.022770166,0.012970924,0.009708881,7.6056e-05
2000,33,0.022970915,0.013216972,0.009659052,8.2016e-05
2000,34,0.022891045,0.013040066,0.009749174,8.893e-05
